Khu vuc, Loai vang, Gia mua, Gia ban, url, timestamp, Trang thai
TP. Hồ Chí Minh,SJC,147.300,149.300,https://giavang.org/trong-nuoc/sjc/,2025-11-19T01:37:58.803146100,status
TP. Hồ Chí Minh,PNJ,147.300,149.300,https://giavang.org/trong-nuoc/pnj/,2025-11-19T01:37:58.803146100,status
TP. Hồ Chí Minh,DOJI,147.300,149.300,https://giavang.org/trong-nuoc/doji/,2025-11-19T01:37:58.803146100,status
TP. Hồ Chí Minh,Mi Hồng,148.000,149.300,https://giavang.org/trong-nuoc/mi-hong/,2025-11-19T01:37:58.803146100,status
TP. Hồ Chí Minh,Ngọc Thẩm,147.300,149.300,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-19T01:37:58.803146100,status
Miền Bắc,SJC,147.300,149.300,https://giavang.org/trong-nuoc/sjc/,2025-11-19T01:37:58.803146100,status
Hạ Long,SJC,147.300,149.300,https://giavang.org/trong-nuoc/sjc/,2025-11-19T01:37:58.803146100,status
Hải Phòng,SJC,147.300,149.300,https://giavang.org/trong-nuoc/sjc/,2025-11-19T01:37:58.803146100,status
Miền Trung,SJC,147.300,149.300,https://giavang.org/trong-nuoc/sjc/,2025-11-19T01:37:58.803146100,status
Huế,SJC,147.300,149.300,https://giavang.org/trong-nuoc/sjc/,2025-11-19T01:37:58.803146100,status
Quảng Ngãi,SJC,147.300,149.300,https://giavang.org/trong-nuoc/sjc/,2025-11-19T01:37:58.803146100,status
Nha Trang,SJC,147.300,149.300,https://giavang.org/trong-nuoc/sjc/,2025-11-19T01:37:58.803146100,status
Biên Hòa,SJC,147.300,149.300,https://giavang.org/trong-nuoc/sjc/,2025-11-19T01:37:58.803146100,status
Miền Tây,SJC,147.300,149.300,https://giavang.org/trong-nuoc/sjc/,2025-11-19T01:37:58.803146100,status
Miền Tây,Ngọc Thẩm,147.300,149.300,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-19T01:37:58.803146100,status
Bạc Liêu,SJC,147.300,149.300,https://giavang.org/trong-nuoc/sjc/,2025-11-19T01:37:58.803146100,status
Cà Mau,SJC,147.300,149.300,https://giavang.org/trong-nuoc/sjc/,2025-11-19T01:37:58.803146100,status
Hà Nội,PNJ,147.300,149.300,https://giavang.org/trong-nuoc/pnj/,2025-11-19T01:37:58.803146100,status
Hà Nội,DOJI,147.300,149.300,https://giavang.org/trong-nuoc/doji/,2025-11-19T01:37:58.803146100,status
Hà Nội,Bảo Tín Minh Châu,146.900,148.400,https://giavang.org/trong-nuoc/bao-tin-minh-chau/,2025-11-19T01:37:58.803146100,status
Hà Nội,Bảo Tín Mạnh Hải,147.900,149.300,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-11-19T01:37:58.803146100,status
Hà Nội,Phú Quý,146.300,149.300,https://giavang.org/trong-nuoc/phu-quy/,2025-11-19T01:37:58.803146100,status
Đà Nẵng,PNJ,147.300,149.300,https://giavang.org/trong-nuoc/pnj/,2025-11-19T01:37:58.803146100,status
Đà Nẵng,DOJI,147.300,149.300,https://giavang.org/trong-nuoc/doji/,2025-11-19T01:37:58.803146100,status
Miền Tây,PNJ,147.300,149.300,https://giavang.org/trong-nuoc/pnj/,2025-11-19T01:37:58.803146100,status
Tây Nguyên,PNJ,147.300,149.300,https://giavang.org/trong-nuoc/pnj/,2025-11-19T01:37:58.803146100,status
Đông Nam Bộ,PNJ,147.300,149.300,https://giavang.org/trong-nuoc/pnj/,2025-11-19T01:37:58.803146100,status
Đông Nam Bộ,Ngọc Thẩm,147.300,149.300,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-19T01:37:58.803146100,status
Bắc Ninh,Bảo Tín Mạnh Hải,147.900,149.300,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-11-19T01:37:58.803146100,status
Hải Dương,Bảo Tín Mạnh Hải,147.900,149.300,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-11-19T01:37:58.803146100,status
Bến Tre,Mi Hồng,148.000,149.300,https://giavang.org/trong-nuoc/mi-hong/,2025-11-19T01:37:58.803146100,status
Tiền Giang,Mi Hồng,148.000,149.300,https://giavang.org/trong-nuoc/mi-hong/,2025-11-19T01:37:58.803146100,status
Mỹ Tho,Ngọc Thẩm,147.300,149.300,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-19T01:37:58.803146100,status
Vĩnh Long,Ngọc Thẩm,147.300,149.300,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-19T01:37:58.803146100,status
Long Xuyên,Ngọc Thẩm,147.300,149.300,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-19T01:37:58.803146100,status
Cần Thơ,Ngọc Thẩm,147.300,149.300,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-19T01:37:58.803146100,status
Sa Đéc,Ngọc Thẩm,147.300,149.300,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-19T01:37:58.803146100,status
Trà Vinh,Ngọc Thẩm,147.300,149.300,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-19T01:37:58.803146100,status
Tân An,Ngọc Thẩm,147.300,149.300,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-19T01:37:58.803146100,status
