Khu vuc, Loai vang, Gia mua, Gia ban, url, timestamp, Trang thai
TP. Hồ Chí Minh,SJC,150.000,152.000,https://giavang.org/trong-nuoc/sjc/,2025-11-12T04:01:50.356342700,status
TP. Hồ Chí Minh,PNJ,150.000,152.000,https://giavang.org/trong-nuoc/pnj/,2025-11-12T04:01:50.356342700,status
TP. Hồ Chí Minh,DOJI,150.000,152.000,https://giavang.org/trong-nuoc/doji/,2025-11-12T04:01:50.356342700,status
TP. Hồ Chí Minh,Mi Hồng,150.500,152.000,https://giavang.org/trong-nuoc/mi-hong/,2025-11-12T04:01:50.356342700,status
TP. Hồ Chí Minh,Ngọc Thẩm,150.000,152.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-12T04:01:50.356342700,status
Miền Bắc,SJC,150.000,152.000,https://giavang.org/trong-nuoc/sjc/,2025-11-12T04:01:50.356342700,status
Hạ Long,SJC,150.000,152.000,https://giavang.org/trong-nuoc/sjc/,2025-11-12T04:01:50.356342700,status
Hải Phòng,SJC,150.000,152.000,https://giavang.org/trong-nuoc/sjc/,2025-11-12T04:01:50.356342700,status
Miền Trung,SJC,150.000,152.000,https://giavang.org/trong-nuoc/sjc/,2025-11-12T04:01:50.356342700,status
Huế,SJC,150.000,152.000,https://giavang.org/trong-nuoc/sjc/,2025-11-12T04:01:50.356342700,status
Quảng Ngãi,SJC,150.000,152.000,https://giavang.org/trong-nuoc/sjc/,2025-11-12T04:01:50.356342700,status
Nha Trang,SJC,150.000,152.000,https://giavang.org/trong-nuoc/sjc/,2025-11-12T04:01:50.356342700,status
Biên Hòa,SJC,150.000,152.000,https://giavang.org/trong-nuoc/sjc/,2025-11-12T04:01:50.356342700,status
Miền Tây,SJC,150.000,152.000,https://giavang.org/trong-nuoc/sjc/,2025-11-12T04:01:50.356342700,status
Miền Tây,Ngọc Thẩm,150.000,152.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-12T04:01:50.356342700,status
Bạc Liêu,SJC,150.000,152.000,https://giavang.org/trong-nuoc/sjc/,2025-11-12T04:01:50.356342700,status
Cà Mau,SJC,150.000,152.000,https://giavang.org/trong-nuoc/sjc/,2025-11-12T04:01:50.356342700,status
Hà Nội,PNJ,150.000,152.000,https://giavang.org/trong-nuoc/pnj/,2025-11-12T04:01:50.356342700,status
Hà Nội,DOJI,150.000,152.000,https://giavang.org/trong-nuoc/doji/,2025-11-12T04:01:50.356342700,status
Hà Nội,Bảo Tín Minh Châu,146.900,148.400,https://giavang.org/trong-nuoc/bao-tin-minh-chau/,2025-11-12T04:01:50.356342700,status
Hà Nội,Bảo Tín Mạnh Hải,150.800,152.000,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-11-12T04:01:50.356342700,status
Hà Nội,Phú Quý,149.000,152.000,https://giavang.org/trong-nuoc/phu-quy/,2025-11-12T04:01:50.356342700,status
Đà Nẵng,PNJ,150.000,152.000,https://giavang.org/trong-nuoc/pnj/,2025-11-12T04:01:50.356342700,status
Đà Nẵng,DOJI,150.000,152.000,https://giavang.org/trong-nuoc/doji/,2025-11-12T04:01:50.356342700,status
Miền Tây,PNJ,150.000,152.000,https://giavang.org/trong-nuoc/pnj/,2025-11-12T04:01:50.356342700,status
Tây Nguyên,PNJ,150.000,152.000,https://giavang.org/trong-nuoc/pnj/,2025-11-12T04:01:50.356342700,status
Đông Nam Bộ,PNJ,150.000,152.000,https://giavang.org/trong-nuoc/pnj/,2025-11-12T04:01:50.356342700,status
Đông Nam Bộ,Ngọc Thẩm,150.000,152.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-12T04:01:50.356342700,status
Bắc Ninh,Bảo Tín Mạnh Hải,150.800,152.000,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-11-12T04:01:50.356342700,status
Hải Dương,Bảo Tín Mạnh Hải,150.800,152.000,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-11-12T04:01:50.356342700,status
Bến Tre,Mi Hồng,150.500,152.000,https://giavang.org/trong-nuoc/mi-hong/,2025-11-12T04:01:50.356342700,status
Tiền Giang,Mi Hồng,150.500,152.000,https://giavang.org/trong-nuoc/mi-hong/,2025-11-12T04:01:50.356342700,status
Mỹ Tho,Ngọc Thẩm,150.000,152.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-12T04:01:50.356342700,status
Vĩnh Long,Ngọc Thẩm,150.000,152.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-12T04:01:50.356342700,status
Long Xuyên,Ngọc Thẩm,150.000,152.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-12T04:01:50.356342700,status
Cần Thơ,Ngọc Thẩm,150.000,152.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-12T04:01:50.356342700,status
Sa Đéc,Ngọc Thẩm,150.000,152.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-12T04:01:50.356342700,status
Trà Vinh,Ngọc Thẩm,150.000,152.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-12T04:01:50.356342700,status
Tân An,Ngọc Thẩm,150.000,152.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-12T04:01:50.356342700,status
