"Khu vuc","Loai vang","Gia mua","Gia ban","timestamp","Trang thai"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","150.000","152.000","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Vàng SJC 5 chỉ","150.000","152.020","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Vàng SJC 0.5 chỉ, 1 chỉ, 2 chỉ","150.000","152.030","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Vàng nhẫn SJC 99,99% 1 chỉ, 2 chỉ, 5 chỉ","147.300","149.800","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Vàng nhẫn SJC 99,99% 0.5 chỉ, 0.3 chỉ","147.300","149.900","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Nữ trang 99,99%","145.800","148.800","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Nữ trang 99%","142.827","147.327","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Nữ trang 75%","104.261","111.761","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Nữ trang 68%","93.844","101.344","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Nữ trang 61%","83.427","90.927","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Nữ trang 58,3%","79.409","86.909","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Nữ trang 41,7%","54.706","62.206","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","150.000","152.000","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","150.000","152.000","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","150.000","152.000","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","150.000","152.000","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","150.000","152.000","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","150.000","152.000","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","150.000","152.000","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","150.000","152.000","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","150.000","152.000","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","150.000","152.000","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","Vàng SJC 1L, 10L, 1KG","150.000","152.000","2025-11-12T04:16:59.508020800","OK"
"TP. Hồ Chí Minh","PNJ","148.500","151.500","2025-11-12T04:17:01.577337900","OK"
"TP. Hồ Chí Minh","SJC","150.000","152.000","2025-11-12T04:17:01.577337900","OK"
"TP. Hồ Chí Minh","PNJ","148.500","151.500","2025-11-12T04:17:01.577337900","OK"
"TP. Hồ Chí Minh","SJC","150.000","152.000","2025-11-12T04:17:01.577337900","OK"
"TP. Hồ Chí Minh","PNJ","148.500","151.500","2025-11-12T04:17:01.577337900","OK"
"TP. Hồ Chí Minh","SJC","150.000","152.000","2025-11-12T04:17:01.577337900","OK"
"TP. Hồ Chí Minh","PNJ","148.500","151.500","2025-11-12T04:17:01.577337900","OK"
"TP. Hồ Chí Minh","SJC","150.000","152.000","2025-11-12T04:17:01.577337900","OK"
