Id, Khu vuc, Loai vang, Gia mua, Gia ban, url, timestamp
1,TP. Hồ Chí Minh,SJC,148.400,150.400,https://giavang.org/trong-nuoc/sjc/,2025-11-22T23:42:48.714804300
2,TP. Hồ Chí Minh,PNJ,148.400,150.400,https://giavang.org/trong-nuoc/pnj/,2025-11-22T23:42:48.714804300
3,TP. Hồ Chí Minh,DOJI,148.400,150.400,https://giavang.org/trong-nuoc/doji/,2025-11-22T23:42:48.714804300
4,TP. Hồ Chí Minh,Mi Hồng,149.200,150.400,https://giavang.org/trong-nuoc/mi-hong/,2025-11-22T23:42:48.714804300
5,TP. Hồ Chí Minh,Ngọc Thẩm,148.400,150.400,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-22T23:42:48.714804300
6,Miền Bắc,SJC,148.400,150.400,https://giavang.org/trong-nuoc/sjc/,2025-11-22T23:42:48.714804300
7,Hạ Long,SJC,148.400,150.400,https://giavang.org/trong-nuoc/sjc/,2025-11-22T23:42:48.714804300
8,Hải Phòng,SJC,148.400,150.400,https://giavang.org/trong-nuoc/sjc/,2025-11-22T23:42:48.714804300
9,Miền Trung,SJC,148.400,150.400,https://giavang.org/trong-nuoc/sjc/,2025-11-22T23:42:48.714804300
10,Huế,SJC,148.400,150.400,https://giavang.org/trong-nuoc/sjc/,2025-11-22T23:42:48.714804300
11,Quảng Ngãi,SJC,148.400,150.400,https://giavang.org/trong-nuoc/sjc/,2025-11-22T23:42:48.714804300
12,Nha Trang,SJC,148.400,150.400,https://giavang.org/trong-nuoc/sjc/,2025-11-22T23:42:48.714804300
13,Biên Hòa,SJC,148.400,150.400,https://giavang.org/trong-nuoc/sjc/,2025-11-22T23:42:48.714804300
14,Miền Tây,SJC,148.400,150.400,https://giavang.org/trong-nuoc/sjc/,2025-11-22T23:42:48.714804300
15,Miền Tây,Ngọc Thẩm,148.400,150.400,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-22T23:42:48.714804300
16,Bạc Liêu,SJC,148.400,150.400,https://giavang.org/trong-nuoc/sjc/,2025-11-22T23:42:48.714804300
17,Cà Mau,SJC,148.400,150.400,https://giavang.org/trong-nuoc/sjc/,2025-11-22T23:42:48.714804300
18,Hà Nội,PNJ,148.400,150.400,https://giavang.org/trong-nuoc/pnj/,2025-11-22T23:42:48.714804300
19,Hà Nội,DOJI,148.400,150.400,https://giavang.org/trong-nuoc/doji/,2025-11-22T23:42:48.714804300
20,Hà Nội,Bảo Tín Minh Châu,148.900,150.400,https://giavang.org/trong-nuoc/bao-tin-minh-chau/,2025-11-22T23:42:48.714804300
21,Hà Nội,Bảo Tín Mạnh Hải,149.000,150.400,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-11-22T23:42:48.714804300
22,Hà Nội,Phú Quý,147.900,150.400,https://giavang.org/trong-nuoc/phu-quy/,2025-11-22T23:42:48.714804300
23,Đà Nẵng,PNJ,148.400,150.400,https://giavang.org/trong-nuoc/pnj/,2025-11-22T23:42:48.714804300
24,Đà Nẵng,DOJI,148.400,150.400,https://giavang.org/trong-nuoc/doji/,2025-11-22T23:42:48.714804300
25,Miền Tây,PNJ,148.400,150.400,https://giavang.org/trong-nuoc/pnj/,2025-11-22T23:42:48.714804300
26,Tây Nguyên,PNJ,148.400,150.400,https://giavang.org/trong-nuoc/pnj/,2025-11-22T23:42:48.714804300
27,Đông Nam Bộ,PNJ,148.400,150.400,https://giavang.org/trong-nuoc/pnj/,2025-11-22T23:42:48.714804300
28,Đông Nam Bộ,Ngọc Thẩm,148.400,150.400,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-22T23:42:48.714804300
29,Bắc Ninh,Bảo Tín Mạnh Hải,149.000,150.400,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-11-22T23:42:48.714804300
30,Hải Dương,Bảo Tín Mạnh Hải,149.000,150.400,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-11-22T23:42:48.714804300
31,Bến Tre,Mi Hồng,149.200,150.400,https://giavang.org/trong-nuoc/mi-hong/,2025-11-22T23:42:48.714804300
32,Tiền Giang,Mi Hồng,149.200,150.400,https://giavang.org/trong-nuoc/mi-hong/,2025-11-22T23:42:48.714804300
33,Mỹ Tho,Ngọc Thẩm,148.400,150.400,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-22T23:42:48.714804300
34,Vĩnh Long,Ngọc Thẩm,148.400,150.400,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-22T23:42:48.714804300
35,Long Xuyên,Ngọc Thẩm,148.400,150.400,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-22T23:42:48.714804300
36,Cần Thơ,Ngọc Thẩm,148.400,150.400,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-22T23:42:48.714804300
37,Sa Đéc,Ngọc Thẩm,148.400,150.400,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-22T23:42:48.714804300
38,Trà Vinh,Ngọc Thẩm,148.400,150.400,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-22T23:42:48.714804300
39,Tân An,Ngọc Thẩm,148.400,150.400,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-22T23:42:48.714804300
