Khu vuc, Loai vang, Gia mua, Gia ban, url, timestamp, Trang thai
TP. Hồ Chí Minh,SJC,147.000,149.000,https://giavang.org/trong-nuoc/sjc/,2025-11-03T17:00:56.830260400,status
TP. Hồ Chí Minh,PNJ,147.000,149.000,https://giavang.org/trong-nuoc/pnj/,2025-11-03T17:00:56.830260400,status
TP. Hồ Chí Minh,DOJI,147.000,149.000,https://giavang.org/trong-nuoc/doji/,2025-11-03T17:00:56.830260400,status
TP. Hồ Chí Minh,Mi Hồng,147.500,149.000,https://giavang.org/trong-nuoc/mi-hong/,2025-11-03T17:00:56.830260400,status
TP. Hồ Chí Minh,Ngọc Thẩm,147.000,149.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-03T17:00:56.830260400,status
Miền Bắc,SJC,147.000,149.000,https://giavang.org/trong-nuoc/sjc/,2025-11-03T17:00:56.830260400,status
Hạ Long,SJC,147.000,149.000,https://giavang.org/trong-nuoc/sjc/,2025-11-03T17:00:56.830260400,status
Hải Phòng,SJC,147.000,149.000,https://giavang.org/trong-nuoc/sjc/,2025-11-03T17:00:56.830260400,status
Miền Trung,SJC,147.000,149.000,https://giavang.org/trong-nuoc/sjc/,2025-11-03T17:00:56.830260400,status
Huế,SJC,147.000,149.000,https://giavang.org/trong-nuoc/sjc/,2025-11-03T17:00:56.830260400,status
Quảng Ngãi,SJC,147.000,149.000,https://giavang.org/trong-nuoc/sjc/,2025-11-03T17:00:56.830260400,status
Nha Trang,SJC,147.000,149.000,https://giavang.org/trong-nuoc/sjc/,2025-11-03T17:00:56.830260400,status
Biên Hòa,SJC,147.000,149.000,https://giavang.org/trong-nuoc/sjc/,2025-11-03T17:00:56.830260400,status
Miền Tây,SJC,147.000,149.000,https://giavang.org/trong-nuoc/sjc/,2025-11-03T17:00:56.830260400,status
Miền Tây,Ngọc Thẩm,147.000,149.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-03T17:00:56.830260400,status
Bạc Liêu,SJC,147.000,149.000,https://giavang.org/trong-nuoc/sjc/,2025-11-03T17:00:56.830260400,status
Cà Mau,SJC,147.000,149.000,https://giavang.org/trong-nuoc/sjc/,2025-11-03T17:00:56.830260400,status
Hà Nội,PNJ,147.000,149.000,https://giavang.org/trong-nuoc/pnj/,2025-11-03T17:00:56.830260400,status
Hà Nội,DOJI,147.000,149.000,https://giavang.org/trong-nuoc/doji/,2025-11-03T17:00:56.830260400,status
Hà Nội,Bảo Tín Minh Châu,147.500,149.000,https://giavang.org/trong-nuoc/bao-tin-minh-chau/,2025-11-03T17:00:56.830260400,status
Hà Nội,Bảo Tín Mạnh Hải,147.600,149.000,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-11-03T17:00:56.830260400,status
Hà Nội,Phú Quý,146.500,149.000,https://giavang.org/trong-nuoc/phu-quy/,2025-11-03T17:00:56.830260400,status
Đà Nẵng,PNJ,147.000,149.000,https://giavang.org/trong-nuoc/pnj/,2025-11-03T17:00:56.830260400,status
Đà Nẵng,DOJI,147.000,149.000,https://giavang.org/trong-nuoc/doji/,2025-11-03T17:00:56.830260400,status
Miền Tây,PNJ,147.000,149.000,https://giavang.org/trong-nuoc/pnj/,2025-11-03T17:00:56.830260400,status
Tây Nguyên,PNJ,147.000,149.000,https://giavang.org/trong-nuoc/pnj/,2025-11-03T17:00:56.830260400,status
Đông Nam Bộ,PNJ,147.000,149.000,https://giavang.org/trong-nuoc/pnj/,2025-11-03T17:00:56.830260400,status
Đông Nam Bộ,Ngọc Thẩm,147.000,149.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-03T17:00:56.830260400,status
Bắc Ninh,Bảo Tín Mạnh Hải,147.600,149.000,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-11-03T17:00:56.830260400,status
Hải Dương,Bảo Tín Mạnh Hải,147.600,149.000,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-11-03T17:00:56.830260400,status
Bến Tre,Mi Hồng,147.500,149.000,https://giavang.org/trong-nuoc/mi-hong/,2025-11-03T17:00:56.830260400,status
Tiền Giang,Mi Hồng,147.500,149.000,https://giavang.org/trong-nuoc/mi-hong/,2025-11-03T17:00:56.830260400,status
Mỹ Tho,Ngọc Thẩm,147.000,149.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-03T17:00:56.830260400,status
Vĩnh Long,Ngọc Thẩm,147.000,149.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-03T17:00:56.830260400,status
Long Xuyên,Ngọc Thẩm,147.000,149.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-03T17:00:56.830260400,status
Cần Thơ,Ngọc Thẩm,147.000,149.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-03T17:00:56.830260400,status
Sa Đéc,Ngọc Thẩm,147.000,149.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-03T17:00:56.830260400,status
Trà Vinh,Ngọc Thẩm,147.000,149.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-03T17:00:56.830260400,status
Tân An,Ngọc Thẩm,147.000,149.000,https://giavang.org/trong-nuoc/ngoc-tham/,2025-11-03T17:00:56.830260400,status
