Khu vuc, Gia mua, Gia ban, url, timestamp, Trang thai
TP. Hồ Chí Minh,SJC,145.800,147.800,https://giavang.org/trong-nuoc/sjc/,2025-10-30T18:02:04.696218100,status
TP. Hồ Chí Minh,PNJ,145.800,147.800,https://giavang.org/trong-nuoc/pnj/,2025-10-30T18:02:04.696218100,status
TP. Hồ Chí Minh,DOJI,145.800,147.800,https://giavang.org/trong-nuoc/doji/,2025-10-30T18:02:04.696218100,status
TP. Hồ Chí Minh,Mi Hồng,146.500,147.800,https://giavang.org/trong-nuoc/mi-hong/,2025-10-30T18:02:04.696218100,status
TP. Hồ Chí Minh,Ngọc Thẩm,145.800,147.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-10-30T18:02:04.696218100,status
Miền Bắc,SJC,145.800,147.800,https://giavang.org/trong-nuoc/sjc/,2025-10-30T18:02:04.696218100,status
Hạ Long,SJC,145.800,147.800,https://giavang.org/trong-nuoc/sjc/,2025-10-30T18:02:04.696218100,status
Hải Phòng,SJC,145.800,147.800,https://giavang.org/trong-nuoc/sjc/,2025-10-30T18:02:04.696218100,status
Miền Trung,SJC,145.800,147.800,https://giavang.org/trong-nuoc/sjc/,2025-10-30T18:02:04.696218100,status
Huế,SJC,145.800,147.800,https://giavang.org/trong-nuoc/sjc/,2025-10-30T18:02:04.696218100,status
Quảng Ngãi,SJC,145.800,147.800,https://giavang.org/trong-nuoc/sjc/,2025-10-30T18:02:04.696218100,status
Nha Trang,SJC,145.800,147.800,https://giavang.org/trong-nuoc/sjc/,2025-10-30T18:02:04.696218100,status
Biên Hòa,SJC,145.800,147.800,https://giavang.org/trong-nuoc/sjc/,2025-10-30T18:02:04.696218100,status
Miền Tây,SJC,145.800,147.800,https://giavang.org/trong-nuoc/sjc/,2025-10-30T18:02:04.696218100,status
Miền Tây,Ngọc Thẩm,145.800,147.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-10-30T18:02:04.696218100,status
Bạc Liêu,SJC,145.800,147.800,https://giavang.org/trong-nuoc/sjc/,2025-10-30T18:02:04.696218100,status
Cà Mau,SJC,145.800,147.800,https://giavang.org/trong-nuoc/sjc/,2025-10-30T18:02:04.696218100,status
Hà Nội,PNJ,145.800,147.800,https://giavang.org/trong-nuoc/pnj/,2025-10-30T18:02:04.696218100,status
Hà Nội,DOJI,145.800,147.800,https://giavang.org/trong-nuoc/doji/,2025-10-30T18:02:04.696218100,status
Hà Nội,Bảo Tín Minh Châu,146.500,147.800,https://giavang.org/trong-nuoc/bao-tin-minh-chau/,2025-10-30T18:02:04.696218100,status
Hà Nội,Bảo Tín Mạnh Hải,146.900,147.800,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-10-30T18:02:04.696218100,status
Hà Nội,Phú Quý,145.300,147.800,https://giavang.org/trong-nuoc/phu-quy/,2025-10-30T18:02:04.696218100,status
Đà Nẵng,PNJ,145.800,147.800,https://giavang.org/trong-nuoc/pnj/,2025-10-30T18:02:04.696218100,status
Đà Nẵng,DOJI,145.800,147.800,https://giavang.org/trong-nuoc/doji/,2025-10-30T18:02:04.696218100,status
Miền Tây,PNJ,145.800,147.800,https://giavang.org/trong-nuoc/pnj/,2025-10-30T18:02:04.696218100,status
Tây Nguyên,PNJ,145.800,147.800,https://giavang.org/trong-nuoc/pnj/,2025-10-30T18:02:04.696218100,status
Đông Nam Bộ,PNJ,145.800,147.800,https://giavang.org/trong-nuoc/pnj/,2025-10-30T18:02:04.696218100,status
Đông Nam Bộ,Ngọc Thẩm,145.800,147.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-10-30T18:02:04.696218100,status
Bắc Ninh,Bảo Tín Mạnh Hải,146.900,147.800,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-10-30T18:02:04.696218100,status
Hải Dương,Bảo Tín Mạnh Hải,146.900,147.800,https://giavang.org/trong-nuoc/bao-tin-manh-hai/,2025-10-30T18:02:04.696218100,status
Bến Tre,Mi Hồng,146.500,147.800,https://giavang.org/trong-nuoc/mi-hong/,2025-10-30T18:02:04.696218100,status
Tiền Giang,Mi Hồng,146.500,147.800,https://giavang.org/trong-nuoc/mi-hong/,2025-10-30T18:02:04.696218100,status
Mỹ Tho,Ngọc Thẩm,145.800,147.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-10-30T18:02:04.696218100,status
Vĩnh Long,Ngọc Thẩm,145.800,147.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-10-30T18:02:04.696218100,status
Long Xuyên,Ngọc Thẩm,145.800,147.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-10-30T18:02:04.696218100,status
Cần Thơ,Ngọc Thẩm,145.800,147.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-10-30T18:02:04.696218100,status
Sa Đéc,Ngọc Thẩm,145.800,147.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-10-30T18:02:04.696218100,status
Trà Vinh,Ngọc Thẩm,145.800,147.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-10-30T18:02:04.696218100,status
Tân An,Ngọc Thẩm,145.800,147.800,https://giavang.org/trong-nuoc/ngoc-tham/,2025-10-30T18:02:04.696218100,status
